,Release Date,Normalized Sentiment
463,2017-05-31,-51.8
464,2017-06-02,-71.0
465,2017-06-03,-37.0
466,2017-06-06,-27.0
467,2017-06-07,-29.0
468,2017-06-09,-49.0
469,2017-06-12,-43.0
470,2017-06-13,-48.75
471,2017-06-14,-45.42857142857143
472,2017-06-15,-42.0
473,2017-06-20,-30.5
474,2017-06-21,-37.0
475,2017-06-26,-55.0
476,2017-06-27,-59.0
477,2017-06-28,-1.0
478,2017-07-17,-40.0
479,2017-07-18,-44.0
480,2017-07-19,-10.0
481,2017-07-20,31.0
482,2017-07-24,-72.0
483,2017-07-25,-37.333333333333336
484,2017-07-26,-2.5
485,2017-07-27,-24.833333333333332
486,2017-07-28,-77.0
487,2017-07-31,-85.0
488,2017-08-01,-69.5
489,2017-08-02,-52.5
490,2017-08-03,-39.0
491,2017-08-04,-22.5
492,2017-08-07,-7.5
493,2017-08-08,-20.5
494,2017-08-09,-64.0
495,2017-08-10,-43.666666666666664
496,2017-08-15,-38.5
497,2017-08-17,-47.0
498,2017-08-21,-25.0
499,2017-08-24,-69.0
500,2017-08-27,-62.0
501,2017-09-05,-60.0
502,2017-09-06,-36.142857142857146
503,2017-09-07,-49.5
504,2017-09-10,-46.0
505,2017-09-11,-27.333333333333332
506,2017-09-12,-16.0
507,2017-09-13,-52.8
508,2017-09-14,-1.0
509,2017-09-18,-49.0
510,2017-09-19,-68.0
511,2017-09-25,-59.0
512,2017-09-27,-20.0
513,2017-09-28,-55.0
514,2017-09-29,-49.0
515,2017-10-05,-64.0
516,2017-10-11,-60.0
517,2017-10-17,-55.5
518,2017-10-18,-18.0
519,2017-10-19,-56.0
520,2017-10-20,-50.0
521,2017-10-24,-48.0
522,2017-10-25,-22.0
523,2017-10-26,-25.25
524,2017-10-31,-69.0
525,2017-11-01,-24.0
526,2017-11-02,-11.0
527,2017-11-03,-72.0
528,2017-11-06,-19.25
529,2017-11-07,-53.333333333333336
530,2017-11-08,-31.88888888888889
531,2017-11-09,-45.5
532,2017-11-13,-52.0
533,2017-11-14,-18.0
534,2017-11-16,-23.5
535,2017-11-21,-14.5
536,2017-11-28,71.0
537,2017-11-29,-35.0
538,2017-11-30,-53.0
539,2017-12-01,-66.0
540,2017-12-05,-39.333333333333336
541,2017-12-07,-25.666666666666668
542,2017-12-12,-29.0
543,2017-12-13,-49.0
544,2017-12-14,-42.0
545,2017-12-15,2.0
546,2018-01-04,-35.5
547,2018-01-08,-21.0
548,2018-01-09,12.0
549,2018-01-10,-14.0
550,2018-01-11,-55.0
551,2018-01-17,23.0
552,2018-01-23,-60.0
553,2018-01-29,-50.0
554,2018-01-30,-36.5
555,2018-01-31,-69.5
556,2018-02-01,26.0
557,2018-02-02,-35.0
558,2018-02-05,-45.333333333333336
559,2018-02-06,-29.0
560,2018-02-08,-5.0
561,2018-02-09,-56.5
562,2018-02-13,46.0
563,2018-02-14,-28.0
564,2018-02-15,-51.0
565,2018-02-21,25.0
566,2018-02-22,-48.0
567,2018-02-26,-11.0
568,2018-02-27,6.333333333333333
569,2018-02-28,23.0
570,2018-03-01,-44.25
571,2018-03-02,-27.0
572,2018-03-06,14.0
573,2018-03-07,-36.0
574,2018-03-08,-49.0
575,2018-03-09,-46.0
576,2018-03-12,-53.5
577,2018-03-13,-34.625
578,2018-03-14,-18.0
579,2018-03-15,-28.0
580,2018-03-20,-38.0
581,2018-03-27,-40.0
582,2018-04-17,48.0
583,2018-04-24,-32.5
584,2018-04-26,-32.5
585,2018-04-27,-33.0
586,2018-04-30,-29.0
587,2018-05-01,-28.0
588,2018-05-02,-5.0
589,2018-05-03,-14.0
590,2018-05-04,-52.0
591,2018-05-07,-56.25
592,2018-05-08,-28.636363636363637
593,2018-05-09,-27.0
594,2018-05-10,-25.8
595,2018-05-11,-1.0
596,2018-05-14,-90.0
597,2018-05-15,-43.4
598,2018-05-16,-41.44444444444444
599,2018-05-17,-44.666666666666664
600,2018-05-18,-43.5
601,2018-05-21,-21.0
602,2018-05-22,-36.4
603,2018-05-23,-33.5
604,2018-05-24,-30.5
605,2018-05-25,-77.0
606,2018-05-30,-37.666666666666664
607,2018-05-31,12.0
608,2018-06-06,-43.0
609,2018-06-08,-31.0
610,2018-06-12,-39.0
611,2018-06-13,-24.714285714285715
612,2018-06-14,-44.0
613,2018-06-21,-23.5
614,2018-06-26,-56.0
615,2018-06-27,-51.0
616,2018-06-28,67.0
617,2018-07-10,-63.0
618,2018-07-17,4.5
619,2018-07-24,-31.666666666666668
620,2018-07-25,3.0
621,2018-07-26,-28.833333333333332
622,2018-07-27,-59.666666666666664
623,2018-07-30,-98.0
624,2018-07-31,-16.0
625,2018-08-01,-30.0
626,2018-08-02,-35.2
627,2018-08-06,-21.0
628,2018-08-07,-24.11111111111111
629,2018-08-08,-29.818181818181817
630,2018-08-09,-64.5
631,2018-08-10,-65.0
632,2018-08-14,-12.0
633,2018-08-15,-9.0
634,2018-08-16,-50.0
635,2018-08-21,5.0
636,2018-08-24,-35.0
637,2018-08-27,-40.0
638,2018-08-31,29.0
639,2018-09-05,-47.4
640,2018-09-06,-33.833333333333336
641,2018-09-12,-27.0
642,2018-09-13,-20.363636363636363
643,2018-09-14,-41.0
644,2018-09-19,-61.0
645,2018-09-27,-21.0
646,2018-10-16,-13.333333333333334
647,2018-10-22,-65.0
648,2018-10-23,-61.5
649,2018-10-24,-11.0
650,2018-10-25,-18.5
651,2018-10-26,-50.5
652,2018-10-29,-34.0
653,2018-10-30,-27.875
654,2018-10-31,-53.0
655,2018-11-01,4.0
656,2018-11-02,-60.0
657,2018-11-05,-54.0
658,2018-11-06,-15.583333333333334
659,2018-11-07,-30.6
660,2018-11-08,-30.571428571428573
661,2018-11-09,-19.0
662,2018-11-11,-60.0
663,2018-11-13,-34.72727272727273
664,2018-11-14,-17.285714285714285
665,2018-11-15,-38.0
666,2018-11-20,-63.0
667,2018-11-27,-17.5
668,2018-11-28,-48.5
669,2018-12-04,-54.0
670,2018-12-05,-45.0
671,2018-12-06,-37.0
672,2018-12-07,-38.5
673,2018-12-10,-31.0
674,2018-12-11,-68.0
675,2018-12-13,-15.0
676,2018-12-14,11.0
677,2018-12-17,-53.0
678,2019-01-03,-35.0
679,2019-01-04,-27.0
680,2019-01-07,-6.125
681,2019-01-08,-27.666666666666668
682,2019-01-09,-27.0
683,2019-01-10,20.666666666666668
