NDC,count,mean,std,min,25%,50%,75%,max
173086313,2167.0,-0.13415105119445359,0.37518829397006576,-0.7873659001188632,-0.4119236868728799,-0.21731123779292502,0.1292107147017636,1.0
173086906,2167.0,-0.48485872868905205,0.5464172376858701,-0.9790983396569107,-0.8524407455532212,-0.7335234218220726,-0.3442920588563382,1.0
173086910,2167.0,-0.5201405815596343,0.5935487146250291,-0.9860028961509594,-0.9267779164242003,-0.8225642425254989,-0.3208115681896516,1.0
173093308,2167.0,0.5152599187966604,0.587348080865178,-0.9727057320640772,0.26947974472195946,0.8244301642259392,0.9316533982940813,1.0
173093310,2167.0,0.4703010528491648,0.5527093988385449,-0.9120459101623345,0.19765295649784842,0.74958631251344,0.8685455650500918,1.0
173093356,2167.0,0.4375226140766852,0.4782126452987495,-0.8421361795577201,0.2702658334764435,0.6629321087533536,0.7748442736970513,1.0
173094755,2167.0,0.5346063619190209,0.587280385745985,-0.9627593683124791,0.30554653137535465,0.841905047521036,0.9432802550444424,1.0
178050001,2167.0,-0.36588068872186624,0.46323489905155063,-0.7984772386018608,-0.7086441348966714,-0.5968640040275026,-0.13759033337122673,1.0
186000431,2167.0,0.5245844862441145,0.583073452855677,-0.9709273775304716,0.334275952014242,0.8230506430873369,0.9186060003501866,1.0
186000831,2167.0,0.5227448200339428,0.5891884421637726,-0.9731237626371247,0.30293214569413807,0.8314267792364618,0.9240499323359661,1.0
186001631,2167.0,0.5289431236798762,0.5844540215191841,-0.9716520694185202,0.33432235357094536,0.821433100765221,0.9289646307606056,1.0
186001654,2167.0,0.44558016914044585,0.4807564921965994,-0.8713940421228689,0.33181117134512256,0.6540773763207066,0.780406844799562,1.0
186003231,2167.0,0.5287121789845772,0.5880640204209538,-0.9762828822322878,0.33489787564959483,0.829808123793234,0.9276171409068619,1.0
186003254,2167.0,0.4927304536317688,0.5486674937228498,-0.9329250663408404,0.3209225537530282,0.7643992012047772,0.8624499933151866,1.0
186016254,2167.0,0.5155310428878997,0.58593107651548,-0.9714878647950951,0.3015738642496827,0.8222789372432542,0.9152250646263355,1.0
186032254,2167.0,0.52758390215187,0.5932080498840411,-0.9806046835923147,0.3107999684032713,0.843981902987423,0.9321972779473746,1.0
186037020,2167.0,-0.002375517146259466,0.25172424392532405,-0.4653611615157941,-0.17640785931100977,-0.050694298705069876,0.16303085501030024,1.0
186037028,2167.0,-0.44068171493447744,0.5360688084372517,-0.9098635067869812,-0.8222122228864759,-0.7126193291579899,-0.24059770776158476,1.0
186037220,2167.0,-0.1456210271931764,0.306405321244065,-0.5648653462292468,-0.367308893730271,-0.28945746104178016,0.006092943965161206,1.0
186037228,2167.0,-0.44906579645638334,0.5399081405974097,-0.9173075671474096,-0.831553213720041,-0.7220006267297392,-0.246033732469282,1.0
186061001,2167.0,0.46037939889620183,0.5127846911789717,-0.920769768658669,0.3123696908891651,0.6897539698622019,0.8097747810337428,1.0
186062501,2167.0,0.3841747180029931,0.4355130858594256,-0.8926910408730929,0.26255458294096756,0.5432604847631896,0.676976325003289,1.0
186077739,2167.0,-0.1608643978806208,0.33519783644681683,-0.7116934604182563,-0.41734190004481064,-0.25872765857500096,0.052808489309542184,1.0
186077760,2167.0,-0.5055158437585057,0.5973132796585763,-0.9795810629686551,-0.9184565127900297,-0.8208102054917381,-0.28244684114088214,1.0
186091612,2167.0,0.5130660791099259,0.535098174689828,-0.8727899937973324,0.3384464114942235,0.7794429458892653,0.8803926421448153,1.0
186091706,2167.0,0.35035845974812074,0.3347198195733168,-0.6344981281634101,0.25074324948794363,0.5039252829094741,0.5791224808656766,1.0
