Class,Year,Month,Y/Y Percent change,# drugs,# price changes,# price changes prediction,Percent # price changes,Percent # price changes prediction,TRx weighted WAC,Sales weighted WAC,Sales weighted WAC predictions
"VACCINES (PURE, COMB, OTHER)",2017,8,0.04905673254041881,42.0,3.0,2.0,0.07142857142857142,0.045045045,182.2247631488186,238.60408678991985,239.87776045510964
"VACCINES (PURE, COMB, OTHER)",2017,9,0.0638902092118711,41.0,15.0,9.0,0.36585365853658536,0.21052631600000002,210.01979463288393,261.6619357254701,270.571987673639
"VACCINES (PURE, COMB, OTHER)",2017,10,0.06510579709092475,41.0,0.0,0.0,0.0,0.007575758,227.43690209405753,272.24053563471773,279.21694915819404
"VACCINES (PURE, COMB, OTHER)",2017,11,0.02943927655546725,41.0,0.0,0.0,0.0,0.0,223.7117540211936,271.59666914766933,279.1358355282846
"VACCINES (PURE, COMB, OTHER)",2017,12,0.028655145255328168,41.0,0.0,0.0,0.0,0.0067567569999999995,214.46432582644726,267.9631999897609,268.58037980634344
"VACCINES (PURE, COMB, OTHER)",2018,1,0.06556497235510722,40.0,4.0,2.0,0.1,0.048611111,211.01344468751554,280.17749559612014,260.196990913467
"VACCINES (PURE, COMB, OTHER)",2018,2,0.061017364178039976,40.0,12.0,8.0,0.3,0.184931507,200.32119943349468,273.67708862219615,254.42309225173642
"VACCINES (PURE, COMB, OTHER)",2018,3,0.06140489947223865,40.0,0.0,0.0,0.0,0.0,172.50101602111397,251.88877369570662,253.15457484555873
"VACCINES (PURE, COMB, OTHER)",2018,4,0.061757795073600574,39.0,0.0,0.0,0.0,0.006993007,151.28853620589777,236.68295717569728,240.56949341370785
"VACCINES (PURE, COMB, OTHER)",2018,5,0.05244289711662991,40.0,0.0,0.0,0.0,0.006993007,137.7006528669502,222.59672611494685,231.097786516199
"VACCINES (PURE, COMB, OTHER)",2018,6,0.05425681516584773,40.0,0.0,0.0,0.0,0.006896551999999999,147.9020801058519,231.7499356155229,231.5643899882828
"VACCINES (PURE, COMB, OTHER)",2018,7,0.054305999747058346,40.0,0.0,0.0,0.0,0.006802720999999999,148.0365769281033,231.4215267774739,230.27964063997717
"VACCINES (PURE, COMB, OTHER)",2018,8,0.056527504979034575,40.0,0.0,0.0,0.0,0.0,165.40594588913578,249.2823974322854,241.75306649790227
"VACCINES (PURE, COMB, OTHER)",2018,9,0.04337315338462305,40.0,0.0,0.0,0.0,0.0,212.70734613209126,283.4114257722479,275.5701117264232
"VACCINES (PURE, COMB, OTHER)",2018,10,0.0453992228855428,39.0,0.0,0.0,0.0,0.0,232.39420101864448,295.0444711402593,285.90621730185416
