Class,Date,Year,Month,Y/Y Percent change,# drugs,# price changes,# price changes prediction,Percent # price changes,Percent # price changes prediction,TRx weighted WAC,Sales weighted WAC,Sales weighted WAC predictions,Sales weighted WAC actual predictions
ONCOLOGICS,2018-04-01,2018,4,0.1172815003393122,101.0,7.0,588.0,0.06930693069306931,0.0673758865248227,586.9469468482331,996.7652100938906,984.2621642760382,996.7652100938906
ONCOLOGICS,2018-05-01,2018,5,0.0949274316438024,101.0,4.0,395.0,0.039603960396039604,0.04529616724738676,603.5274551517967,1004.9732110112941,989.6999985292026,1004.9732110112941
ONCOLOGICS,2018-06-01,2018,6,0.0950805718148944,101.0,3.0,150.0,0.0297029702970297,0.017241379310344827,605.8393114646166,1004.8141818168644,995.801994365836,1004.8141818168644
ONCOLOGICS,2018-07-01,2018,7,0.0924442701575358,101.0,4.0,390.0,0.039603960396039604,0.044673539518900345,591.2466297199637,994.546637555856,988.2036511638596,994.546637555856
ONCOLOGICS,2018-08-01,2018,8,0.07587848970622305,101.0,28.0,992.0,0.27722772277227725,0.11379310344827588,597.1407695889415,998.1175166768302,1002.0133664630561,998.1175166768302
ONCOLOGICS,2018-09-01,2018,9,0.07519673413308875,99.0,1.0,179.0,0.010101010101010102,0.02054794520547945,612.1696596830892,1008.800859096884,1009.7313890080395,1008.800859096884
ONCOLOGICS,2018-10-01,2018,10,0.07412001804929251,99.0,5.0,266.0,0.050505050505050504,0.030508474576271188,619.7320117600202,1015.5382482376633,1021.4281095825444,1015.5382482376633
ONCOLOGICS,2018-11-01,2018,11,0.06253212480016944,99.0,1.0,59.0,0.010101010101010102,0.006779661016949152,612.4408942291948,1012.9670850526844,1011.3946372192016,1012.9670850526844
ONCOLOGICS,2018-12-01,2018,12,0.06300178431105488,99.0,0.0,117.0,0.0,0.013422818791946308,626.3676465188186,1004.4251467045992,1012.9421634555353,1004.4251467045992
ONCOLOGICS,2019-01-01,2019,1,0.06156676320499484,99.0,10.0,669.0,0.10101010101010101,0.07666666666666666,642.0680330926397,1015.6118053938882,1018.039451756482,1015.6118053938882
ONCOLOGICS,2019-02-01,2019,2,0.04866071010428108,99.0,62.0,3356.0,0.6262626262626263,0.3848684210526316,671.8599953537636,1043.335652905948,1040.8748194320956,1043.335652905948
ONCOLOGICS,2019-03-01,2019,3,0.04851027499385118,98.0,4.0,881.0,0.04081632653061224,0.1009771986970684,686.4751879839719,1053.4178025941674,1041.6629089438377,1053.4178025941674
ONCOLOGICS,2019-04-01,2019,4,0.04821224063936322,99.0,0.0,200.0,0.0,0.022950819672131147,690.0071070383772,1061.385537188709,1056.5687883399899,1061.385537188709
ONCOLOGICS,2019-05-01,2019,5,0.04871817594790261,98.0,2.0,568.0,0.02040816326530612,0.06514657980456026,679.5815308592075,1057.5830217671921,1048.1971791452252,1057.5830217671921
ONCOLOGICS,2019-06-01,2019,6,0.04827744504212416,98.0,0.0,28.0,0.0,0.003246753246753247,685.551684589644,1062.3610250084203,1051.5610705768672,1062.3610250084203
ONCOLOGICS,2019-07-01,2019,7,0.04951035672900316,99.0,4.0,472.0,0.04040404040404041,0.05414012738853504,661.7184297708667,1046.0732504489708,1032.8978704835804,1046.0732504489708
ONCOLOGICS,2019-08-01,2019,8,0.04271267352053516,98.0,13.0,1346.0,0.1326530612244898,0.15434083601286175,661.7222040717946,1051.8764738028528,1048.337287046562,1051.8764738028528
ONCOLOGICS,2019-09-01,2019,9,0.042209808120789366,98.0,0.0,55.0,0.0,0.006349206349206349,680.0454798934092,1061.001854728235,1065.5151370758442,1061.001854728235
ONCOLOGICS,2019-10-01,2019,10,0.0417167236066724,100.0,0.0,54.0,0.0,0.006211180124223602,684.458277740154,1060.0737141520472,1070.0800496388308,1060.0737141520472
ONCOLOGICS,2019-11-01,2019,11,0.04229998887620634,101.0,8.0,372.0,0.07920792079207921,0.042682926829268296,666.675692130002,1038.2126938188428,1056.3684581870064,1038.2126938188428
ONCOLOGICS,2019-12-01,2019,12,0.04168801900315037,101.0,0.0,159.0,0.0,0.01818181818181818,667.9277783332299,1047.8132023797284,1056.429967224549,1047.8132023797284
ONCOLOGICS,2020-01-01,2020,1,0.04123942612579295,101.0,0.0,105.0,0.0,0.012084592145015106,660.7276839157138,1040.937867444885,1063.4907492578086,1040.937867444885
ONCOLOGICS,2020-02-01,2020,2,0.055879567681451366,101.0,71.0,5021.0,0.7029702970297029,0.5757575757575758,704.1895751783155,1090.3643878729788,1080.4151009523034,1090.3643878729788
ONCOLOGICS,2020-03-01,2020,3,0.05526668439700277,101.0,0.0,105.0,0.0,0.012012012012012012,666.9796250834746,1076.8810650711891,1082.1632974917914,1076.8810650711891
ONCOLOGICS,2020-04-01,2020,4,0.05632218451318635,101.0,0.0,236.0,0.0,0.027027027027027032,637.4469689217868,1059.803828342307,1079.3511245341524,1059.803828342307
ONCOLOGICS,2020-05-01,2020,5,0.05558240697004448,101.0,0.0,0.0,0.0,0.0,678.0658877214668,1099.9789173977483,1096.8214309867917,1099.9789173977483
ONCOLOGICS,2020-06-01,2020,6,0.05508523314979443,101.0,0.0,0.0,0.0,0.0,711.3125378470868,1109.8679670941167,1092.677093523675,1109.8679670941167
ONCOLOGICS,2020-07-01,2020,7,0.054855539483890256,101.0,0.0,0.0,0.0,0.0,700.4359392456886,1104.2914783668987,1092.1876230277444,1104.2914783668987
ONCOLOGICS,2020-08-01,2020,8,,,,0.0,,0.0,,,1100.4252264328902,1100.4252264328902
ONCOLOGICS,2020-09-01,2020,9,,,,1617.0,,0.18543046357615892,,,1086.0112290879124,1086.0112290879124
ONCOLOGICS,2020-10-01,2020,10,,,,0.0,,0.0,,,1108.5144100695177,1108.5144100695177
ONCOLOGICS,2020-11-01,2020,11,,,,289.0,,0.03311258278145696,,,1103.0536666465882,1103.0536666465882
ONCOLOGICS,2020-12-01,2020,12,,,,0.0,,0.0,,,1105.0367856353796,1105.0367856353796
ONCOLOGICS,2021-01-01,2021,1,,,,0.0,,0.0,,,1103.286138205193,1103.286138205193
ONCOLOGICS,2021-02-01,2021,2,,,,6641.0,,0.7615894039735099,,,1135.187726264651,1135.187726264651
ONCOLOGICS,2021-03-01,2021,3,,,,115.0,,0.01324503311258278,,,1125.4365140227003,1125.4365140227003
ONCOLOGICS,2021-04-01,2021,4,,,,58.0,,0.006622516556291391,,,1128.6882240237505,1128.6882240237505
ONCOLOGICS,2021-05-01,2021,5,,,,0.0,,0.0,,,1137.6414904755316,1137.6414904755316
ONCOLOGICS,2021-06-01,2021,6,,,,0.0,,0.0,,,1135.9701734751466,1135.9701734751466
ONCOLOGICS,2021-07-01,2021,7,,,,,,,,,1129.3307712376504,1129.3307712376504
ONCOLOGICS,2021-08-01,2021,8,,,,,,,,,1139.7699622766506,1139.7699622766506
ONCOLOGICS,2021-09-01,2021,9,,,,,,,,,1135.9851060242086,1135.9851060242086
ONCOLOGICS,2021-10-01,2021,10,,,,,,,,,1152.729424381683,1152.729424381683
ONCOLOGICS,2021-11-01,2021,11,,,,,,,,,1144.4833208394216,1144.4833208394216
ONCOLOGICS,2021-12-01,2021,12,,,,,,,,,1145.7426807217998,1145.7426807217998
ONCOLOGICS,2022-01-01,2022,1,,,,,,,,,1146.9420662919326,1146.9420662919326
ONCOLOGICS,2022-02-01,2022,2,,,,,,,,,1173.8204006807246,1173.8204006807246
ONCOLOGICS,2022-03-01,2022,3,,,,,,,,,1168.8483714239594,1168.8483714239594
ONCOLOGICS,2022-04-01,2022,4,,,,,,,,,1178.0052980260198,1178.0052980260198
ONCOLOGICS,2022-05-01,2022,5,,,,,,,,,1178.339201933622,1178.339201933622
ONCOLOGICS,2022-06-01,2022,6,,,,,,,,,1179.1702419261853,1179.1702419261853
ONCOLOGICS,2022-07-01,2022,7,,,,,,,,,1166.4709737138726,1166.4709737138726
ONCOLOGICS,2022-08-01,2022,8,,,,,,,,,1179.3122443581449,1179.3122443581449
ONCOLOGICS,2022-09-01,2022,9,,,,,,,,,1186.0618222481985,1186.0618222481985
ONCOLOGICS,2022-10-01,2022,10,,,,,,,,,1196.8250960358087,1196.8250960358087
ONCOLOGICS,2022-11-01,2022,11,,,,,,,,,1185.827061992614,1185.827061992614
ONCOLOGICS,2022-12-01,2022,12,,,,,,,,,1186.4454521084333,1186.4454521084333
